property,opened_date,contracted_date,completed_date,signoffreceived_date,usps_id,closed_date,usps_issue_number,estimated_cost,status,priority,category,type,assignedto,project_origin,project_age,age_bucket,stage_group,is_open,project_key
"Georgetown, IL",2023-08-22,2024-04-01,2024-04-05,,,2024-05-01,,250.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,253.0,90+,Closed,Closed,"Georgetown, IL|2023-08-22"
"Hamilton, PA",2023-08-22,,2023-08-15,,,2023-08-22,,173.2,Closed,Normal,Repair,Landscaping,Sarah Williams,Internal,0.0,0-30,Closed,Closed,"Hamilton, PA|2023-08-22"
"Madison, NH",2023-08-22,2023-08-24,,,,,,200.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,974.0,90+,Closed,Closed,"Madison, NH|2023-08-22"
"Manchester, GA",2023-08-22,2023-08-22,,,,2024-01-17,,80.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,148.0,90+,Closed,Closed,"Manchester, GA|2023-08-22"
"Milton, TN",2023-08-22,2033-08-28,2024-12-31,,,2025-01-15,,323.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,512.0,90+,Closed,Closed,"Milton, TN|2023-08-22"
"Oxford, LA",2023-08-22,2023-08-22,2033-08-23,2023-09-20,,2023-09-26,,584.0,Closed,Normal,Repair,HVAC Repairs,Mike Johnson,Internal,35.0,31-60,Closed,Closed,"Oxford, LA|2023-08-22"
"Salem, WI",2023-08-22,2024-04-10,2024-04-29,,n/a/,2025-01-02,,240.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,USPS,499.0,90+,Closed,Closed,"Salem, WI|2023-08-22"
"Auburn, MS",2023-08-23,2023-08-23,2023-08-24,2023-08-28,,2024-02-13,,,Closed,Normal,Repair,Carpet,Brandon Davis,Internal,174.0,90+,Closed,Closed,"Auburn, MS|2023-08-23"
"Auburn, SC",2023-08-23,2024-01-21,2024-02-06,2024-02-14,,2024-02-14,,,Closed,Normal,Repair,Roof Repair,Brandon Davis,Internal,175.0,90+,Closed,Closed,"Auburn, SC|2023-08-23"
"Bristol, GA",2023-08-23,2023-08-29,2024-05-08,,,2024-08-02,,275.0,Closed,Normal,Repair,HVAC PM,Brandon Davis,Internal,345.0,90+,Closed,Closed,"Bristol, GA|2023-08-23"
"Canton, DE",2023-08-23,,2024-01-10,2024-01-10,2308472,2024-02-06,2844178,,Closed,Urgent,Repair,HVAC Repairs,Brandon Davis,USPS,167.0,90+,Closed,Closed,"Canton, DE|2023-08-23"
"Carrollton, IL",2023-08-23,,,,,2024-01-16,,,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,146.0,90+,Closed,Closed,"Carrollton, IL|2023-08-23"
"Clayton, ME",2023-08-23,2024-02-04,2024-02-11,2024-03-14,2307895,2024-03-14,2843606,,Closed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,204.0,90+,Closed,Closed,"Clayton, ME|2023-08-23"
"Franklin, LA",2023-08-23,2023-08-23,2023-08-27,2023-08-27,2308892,2023-11-07,2844604,500.0,Closed,Urgent,Repair,HVAC Repairs,Brandon Davis,USPS,76.0,61-90,Closed,Closed,"Franklin, LA|2023-08-23"
"Madison, CA",2023-08-23,2023-08-27,,,2308516,2023-12-26,2844256,,Closed,Urgent,Repair,Plumbing,Ashley Thompson,USPS,125.0,90+,Closed,Closed,"Madison, CA|2023-08-23"
"Fairview, AL",2023-08-24,2023-08-24,2023-10-18,2023-10-23,,2023-11-07,,170.0,Closed,Normal,Repair,HVAC PM,Brandon Davis,Internal,75.0,61-90,Closed,Closed,"Fairview, AL|2023-08-24"
"Hamilton, WA",2023-08-24,2023-09-10,2023-12-06,,,2024-01-17,,194.0,Closed,Normal,Repair,HVAC PM,Brandon Davis,Internal,146.0,90+,Closed,Closed,"Hamilton, WA|2023-08-24"
"Albany, ME",2023-08-27,2024-02-13,2024-04-08,2024-04-11,2308885,2024-04-22,2844683,443.7,Closed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,239.0,90+,Closed,Closed,"Albany, ME|2023-08-27"
"Auburn, TN",2023-08-27,2033-09-28,2023-10-02,2023-10-03,2309530,2023-10-10,2845419,986.0,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,44.0,31-60,Closed,Closed,"Auburn, TN|2023-08-27"
"Columbia, MO",2023-08-27,2024-04-09,2024-04-16,2024-05-22,2309409,2024-06-14,2845261,,Closed,Urgent,Repair,HVAC Repairs,Sarah Williams,USPS,292.0,90+,Closed,Closed,"Columbia, MO|2023-08-27"
"Columbia, MO",2023-08-27,2024-05-22,2024-05-31,2024-06-07,2309562,2024-08-08,2845476,6918.0,Closed,Urgent,Repair,HVAC Repairs,Sarah Williams,USPS,347.0,90+,Closed,Closed,"Columbia, MO|2023-08-27"
"Columbia, MO",2023-08-27,2024-03-07,2024-04-29,2024-05-07,2309023,2024-06-11,2844797,,Closed,Urgent,Repair,Masonry,Sarah Williams,USPS,289.0,90+,Closed,Closed,"Columbia, MO|2023-08-27"
"Columbia, OR",2023-08-27,2024-02-22,2024-02-26,2024-02-26,2309246,2024-03-15,2845089,750.0,Closed,Urgent,Repair,Masonry,Sarah Williams,USPS,201.0,90+,Closed,Closed,"Columbia, OR|2023-08-27"
"Milton, CA",2023-08-27,2023-09-20,2023-11-27,2023-11-28,2309272,2024-01-17,2845077,,Closed,Urgent,Repair,Building Repairs,Sarah Williams,USPS,143.0,90+,Closed,Closed,"Milton, CA|2023-08-27"
"Plymouth, SD",2023-08-27,2024-03-06,2024-05-03,2024-05-09,2308926,2024-05-22,2844648,,Closed,Urgent,Repair,Masonry,Brandon Davis,USPS,269.0,90+,Closed,Closed,"Plymouth, SD|2023-08-27"
"Bristol, WI",2023-08-28,2023-08-28,2023-11-13,2023-11-13,,2023-11-26,,,Closed,Normal,Repair,HVAC PM,Brandon Davis,Internal,90.0,61-90,Closed,Closed,"Bristol, WI|2023-08-28"
"Clinton, VT",2023-08-28,2023-08-28,2023-08-31,2023-09-04,2310690,2023-12-12,2846591,164.0,Closed,Urgent,Repair,HVAC Repairs,Brandon Davis,USPS,106.0,90+,Closed,Closed,"Clinton, VT|2023-08-28"
"Danville, NM",2023-08-28,2023-08-28,2023-09-18,,,2023-09-26,,150.0,Closed,Unknown,Repair,Plumbing,Sarah Williams,Internal,29.0,0-30,Closed,Closed,"Danville, NM|2023-08-28"
"Gainesville, VT",2023-08-28,2024-12-12,2025-08-18,,2309953,,2845848,,Completed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,968.0,90+,Completed Not Paid,Open,"Gainesville, VT|2023-08-28"
"Hudson, MS",2023-08-28,2024-05-29,2024-06-26,2024-07-09,2309977,2024-07-09,2845819,,Closed,Urgent,Repair,Drive Thru,Brandon Davis,USPS,316.0,90+,Closed,Closed,"Hudson, MS|2023-08-28"
"Oakland, OR",2023-08-28,2023-08-28,,,,2024-01-23,,151.5,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,148.0,90+,Closed,Closed,"Oakland, OR|2023-08-28"
"Oakland, GA",2023-08-29,2023-09-07,2023-12-19,,,,,151.5,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,967.0,90+,Closed,Closed,"Oakland, GA|2023-08-29"
"Anderson, AR",2023-08-30,,2023-09-04,2023-09-04,2311437,2023-09-04,2847391,0.0,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,5.0,0-30,Closed,Closed,"Anderson, AR|2023-08-30"
"Georgetown, NJ",2023-08-30,2024-05-23,2024-08-05,2024-08-06,2310999,2024-08-21,2846864,,Closed,Urgent,Repair,Paving (Repair),Brandon Davis,USPS,357.0,90+,Closed,Closed,"Georgetown, NJ|2023-08-30"
"Fairview, MD",2023-09-04,2023-09-04,2023-09-10,2023-09-12,,2023-09-26,,120.0,Closed,Normal,Repair,HVAC Repairs,Brandon Davis,Internal,22.0,0-30,Closed,Closed,"Fairview, MD|2023-09-04"
"Oxford, LA",2023-09-04,2024-02-05,2024-02-06,2024-02-21,2312511,2024-03-04,2848387,300.0,Closed,Urgent,Repair,Doors,Sarah Williams,USPS,182.0,90+,Closed,Closed,"Oxford, LA|2023-09-04"
"Hamilton, PA",2023-09-05,,2023-09-01,,,2023-09-19,,173.2,Closed,Normal,Repair,Landscaping,Sarah Williams,Internal,14.0,0-30,Closed,Closed,"Hamilton, PA|2023-09-05"
"Oxford, WV",2023-09-05,2023-09-04,2023-09-05,,,2023-11-07,,40.0,Closed,Normal,Repair,Asbestos Abatement,Mike Johnson,Internal,63.0,61-90,Closed,Closed,"Oxford, WV|2023-09-05"
"Clayton, MI",2023-09-06,,,,2138432,2023-12-04,2663722,0.0,Closed,Urgent,Repair,Flooring,Mike Johnson,USPS,89.0,61-90,Closed,Closed,"Clayton, MI|2023-09-06"
"Cleveland, OR",2023-09-06,2024-04-03,2024-04-26,2024-04-26,1980238,2024-05-10,2479491,250.0,Closed,Urgent,Repair,Flooring,Sarah Williams,USPS,247.0,90+,Closed,Closed,"Cleveland, OR|2023-09-06"
"Columbia, DE",2023-09-06,,,2023-11-05,2143731,2023-11-15,2669287,0.0,Closed,Urgent,Repair,Flooring,Mike Johnson,USPS,70.0,61-90,Closed,Closed,"Columbia, DE|2023-09-06"
"Columbia, MO",2023-09-06,2023-09-07,2023-09-11,2023-10-02,2313195,2023-11-09,2849289,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,64.0,61-90,Closed,Closed,"Columbia, MO|2023-09-06"
"Fairview, AL",2023-09-06,2024-02-28,2024-05-18,2024-05-22,2022462,2024-07-19,2531813,2040.0,Closed,Urgent,Repair,Flooring,Sarah Williams,USPS,317.0,90+,Closed,Closed,"Fairview, AL|2023-09-06"
"Gainesville, HI",2023-09-06,2023-09-26,2023-10-16,2023-10-23,2312489,2023-10-31,2848520,,Closed,Urgent,Repair,Electrical Repairs,Sarah Williams,USPS,55.0,31-60,Closed,Closed,"Gainesville, HI|2023-09-06"
"Gainesville, HI",2023-09-06,2024-01-25,2024-07-28,2024-07-19,2203952,2024-08-08,2733794,6336.73,Closed,Urgent,Repair,Flooring,Mike Johnson,USPS,337.0,90+,Closed,Closed,"Gainesville, HI|2023-09-06"
"Georgetown, SD",2023-09-06,2023-12-21,2024-01-11,2024-01-14,2127348,2024-01-24,2652022,2415.0,Closed,Urgent,Repair,Flooring,Mike Johnson,USPS,140.0,90+,Closed,Closed,"Georgetown, SD|2023-09-06"
"Hudson, MO",2023-09-06,2023-09-06,2023-09-06,2023-09-06,2313237,2023-10-03,2849342,70.0,Closed,Emergency,Repair,HVAC Repairs,Mike Johnson,USPS,27.0,0-30,Closed,Closed,"Hudson, MO|2023-09-06"
"Ashland, AZ",2023-09-07,2024-05-13,2024-05-14,,,2024-06-12,,350.0,Closed,Normal,Repair,HVAC PM,Mike Johnson,Internal,279.0,90+,Closed,Closed,"Ashland, AZ|2023-09-07"
"Auburn, FL",2023-09-07,2023-09-12,2023-09-19,2023-10-18,2316233,2023-10-23,2852504,414.25,Closed,Normal,Repair,HVAC Repairs,Mike Johnson,USPS,46.0,31-60,Closed,Closed,"Auburn, FL|2023-09-07"
"Carrollton, DE",2023-09-07,2023-10-19,2023-10-22,2023-10-26,,2024-03-05,,400.0,Closed,Normal,Repair,Roof Repair,Sarah Williams,Internal,180.0,90+,Closed,Closed,"Carrollton, DE|2023-09-07"
"Albany, WI",2023-09-10,2024-03-07,2024-03-12,2024-03-14,2313524,2024-03-25,2849658,700.0,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,197.0,90+,Closed,Closed,"Albany, WI|2023-09-10"
"Anderson, PA",2023-09-10,2024-02-07,2024-03-20,2024-03-21,2314043,2024-03-29,2850202,,Closed,Urgent,Repair,Gutters,Brandon Davis,USPS,201.0,90+,Closed,Closed,"Anderson, PA|2023-09-10"
"Centerville, MS",2023-09-10,2023-09-11,2023-09-11,2023-09-12,2314979,2023-09-26,2851177,663.4,Closed,Emergency,Repair,Roof Repair,Mike Johnson,USPS,16.0,0-30,Closed,Closed,"Centerville, MS|2023-09-10"
"Clayton, CO",2023-09-10,2023-09-12,2024-02-26,,,2024-03-05,,90.0,Closed,Normal,Repair,HVAC PM,Brandon Davis,Internal,177.0,90+,Closed,Closed,"Clayton, CO|2023-09-10"
"Cleveland, ID",2023-09-10,2023-10-09,2023-10-10,2023-10-15,2313899,2023-11-30,2850063,,Closed,Urgent,Repair,HVAC Repairs,Sarah Williams,USPS,81.0,61-90,Closed,Closed,"Cleveland, ID|2023-09-10"
"Fairview, AL",2023-09-10,2023-10-01,2023-10-03,2023-11-29,2312913,2023-12-10,2848965,432.82,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,91.0,90+,Closed,Closed,"Fairview, AL|2023-09-10"
"Fairview, SD",2023-09-10,2023-10-17,2024-01-14,2024-01-15,2313267,2024-01-17,2849368,,Closed,Urgent,Repair,Gutters,Brandon Davis,USPS,129.0,90+,Closed,Closed,"Fairview, SD|2023-09-10"
"Gainesville, HI",2023-09-10,2023-09-12,2023-10-17,2023-10-18,,,,181.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,955.0,90+,Closed,Closed,"Gainesville, HI|2023-09-10"
"Gainesville, HI",2023-09-10,2023-09-26,2023-10-16,2023-10-23,2313043,2023-10-31,2849127,100.0,Closed,Urgent,Repair,Gutters,Sarah Williams,USPS,51.0,31-60,Closed,Closed,"Gainesville, HI|2023-09-10"
"Georgetown, NJ",2023-09-10,2023-09-12,2023-09-17,2023-09-26,2313609,2023-09-26,2849785,91.64,Closed,Urgent,Repair,Electrical Repairs,Brandon Davis,USPS,16.0,0-30,Closed,Closed,"Georgetown, NJ|2023-09-10"
"Hamilton, CT",2023-09-10,2023-12-11,,,,,,92.5,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,955.0,90+,Closed,Closed,"Hamilton, CT|2023-09-10"
"Lexington, TX",2023-09-10,2023-09-06,2023-09-06,2023-09-12,2313794,2023-09-17,2849885,,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,7.0,0-30,Closed,Closed,"Lexington, TX|2023-09-10"
"Milton, TN",2023-09-10,2023-09-10,2023-09-13,2023-10-12,2313619,2023-10-17,2849796,313.0,Closed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,37.0,31-60,Closed,Closed,"Milton, TN|2023-09-10"
"Oxford, NH",2023-09-10,2023-09-12,2023-09-20,2023-11-21,2313487,2023-12-13,2849627,500.0,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,94.0,90+,Closed,Closed,"Oxford, NH|2023-09-10"
"Oxford, NH",2023-09-10,2023-09-12,2023-11-16,2023-11-21,2313487,2023-12-13,2849561,,Closed,Urgent,Repair,Ceiling Tiles,Sarah Williams,USPS,94.0,90+,Closed,Closed,"Oxford, NH|2023-09-10"
"Columbia, HI",2023-09-11,2023-09-11,2023-09-14,2023-09-26,2314992,2024-01-04,2851148,,Closed,Emergency,Repair,Roof Repair,Sarah Williams,USPS,115.0,90+,Closed,Closed,"Columbia, HI|2023-09-11"
"Auburn, MS",2023-09-12,2023-09-12,2023-09-12,2023-09-14,,2023-09-19,,135.0,Closed,Normal,Repair,Landscaping,Brandon Davis,Internal,7.0,0-30,Closed,Closed,"Auburn, MS|2023-09-12"
"Burlington, NH",2023-09-12,2023-09-10,2023-09-11,2023-10-22,2314267,2024-02-14,2850460,,Closed,Urgent,Repair,Plumbing,Sarah Williams,USPS,155.0,90+,Closed,Closed,"Burlington, NH|2023-09-12"
"Canton, IN",2023-09-12,2023-09-25,2023-10-15,2023-10-18,2314770,2023-11-07,2850980,1367.0,Closed,Urgent,Repair,Electrical Repairs,Brandon Davis,USPS,56.0,31-60,Closed,Closed,"Canton, IN|2023-09-12"
"Carrollton, IL",2023-09-12,,2023-09-19,2023-09-21,2314748,2024-02-06,2850998,,Closed,Urgent,Repair,Electrical Repairs,Brandon Davis,USPS,147.0,90+,Closed,Closed,"Carrollton, IL|2023-09-12"
"Clayton, PA",2023-09-12,,2023-09-26,2023-10-22,2314919,2023-12-17,2851057,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,96.0,90+,Closed,Closed,"Clayton, PA|2023-09-12"
"Clayton, PA",2023-09-12,2023-12-04,2023-12-14,2023-12-17,2314919,2023-12-19,2851059,,Closed,Urgent,Repair,Ceiling Tiles,Sarah Williams,USPS,98.0,90+,Closed,Closed,"Clayton, PA|2023-09-12"
"Columbia, AR",2023-09-12,2023-11-19,2023-12-18,2024-01-08,2315405,2024-01-17,2851566,390.0,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,127.0,90+,Closed,Closed,"Columbia, AR|2023-09-12"
"Gainesville, NJ",2023-09-12,2023-09-19,2023-09-21,2023-10-08,2314932,2024-01-17,2851054,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,127.0,90+,Closed,Closed,"Gainesville, NJ|2023-09-12"
"Gainesville, NJ",2023-09-12,2023-10-16,2023-12-28,2024-01-03,2314932,2024-01-17,2851055,,Closed,Urgent,Repair,Ceiling Tiles,Sarah Williams,USPS,127.0,90+,Closed,Closed,"Gainesville, NJ|2023-09-12"
"Oakland, MN",2023-09-12,2023-09-20,2023-09-20,2023-10-08,2315224,2023-11-07,2851403,100.0,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,56.0,31-60,Closed,Closed,"Oakland, MN|2023-09-12"
"Clayton, NC",2023-09-13,2023-09-17,,,,2024-02-11,,120.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,151.0,90+,Closed,Closed,"Clayton, NC|2023-09-13"
"Clinton, ME",2023-09-13,2023-11-20,2024-01-25,2024-01-29,2317118,2024-02-07,2853439,10550.0,Closed,Urgent,Repair,Drive Thru,Mike Johnson,USPS,147.0,90+,Closed,Closed,"Clinton, ME|2023-09-13"
"Gainesville, AK",2023-09-13,2023-09-17,,,,2024-02-11,,,Closed,Normal,Repair,HVAC PM,Brandon Davis,Internal,151.0,90+,Closed,Closed,"Gainesville, AK|2023-09-13"
"Anderson, VA",2023-09-14,2023-08-22,2023-08-24,,,2023-09-14,,,Closed,Normal,Repair,HVAC PM,Sarah Williams,Internal,0.0,0-30,Closed,Closed,"Anderson, VA|2023-09-14"
"Auburn, MS",2023-09-14,2023-09-17,2023-09-21,2023-09-24,,2023-09-26,,705.3,Closed,Normal,Repair,Electrical Repairs,Brandon Davis,Internal,12.0,0-30,Closed,Closed,"Auburn, MS|2023-09-14"
"Columbia, HI",2023-09-14,2023-11-19,2023-12-03,2023-12-05,2316311,2023-12-06,2852566,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,83.0,61-90,Closed,Closed,"Columbia, HI|2023-09-14"
"Dayton, IA",2023-09-14,,,,,,,451.82,Closed,Urgent,Repair,Roof Repair,Ashley Thompson,Internal,951.0,90+,Closed,Closed,"Dayton, IA|2023-09-14"
"Canton, DE",2023-09-16,2023-09-17,2023-12-06,2023-12-06,2316894,2024-02-06,2853210,,Closed,Urgent,Repair,Electrical Repairs,Brandon Davis,USPS,143.0,90+,Closed,Closed,"Canton, DE|2023-09-16"
"Milton, MO",2023-09-16,2023-11-01,2023-11-07,2023-11-07,2316066,2023-11-27,2852297,,Closed,Urgent,Repair,Electrical Repairs,Brandon Davis,USPS,72.0,61-90,Closed,Closed,"Milton, MO|2023-09-16"
"Clinton, SC",2023-09-17,2023-09-18,2023-09-21,2023-10-15,2315456,2023-10-31,2851633,703.0,Closed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,44.0,31-60,Closed,Closed,"Clinton, SC|2023-09-17"
"Kingston, OH",2023-09-17,2024-02-27,2024-03-18,2024-03-27,2315785,2024-04-22,2852000,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,218.0,90+,Closed,Closed,"Kingston, OH|2023-09-17"
"Albany, NJ",2023-09-18,2023-09-19,2023-09-30,2023-11-06,,2024-02-06,,,Closed,Normal,Repair,Roof Repair,Brandon Davis,Internal,141.0,90+,Closed,Closed,"Albany, NJ|2023-09-18"
"Albany, NJ",2023-09-19,2023-09-19,2023-09-20,2023-11-06,2318706,2023-11-21,2855199,,Closed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,63.0,61-90,Closed,Closed,"Albany, NJ|2023-09-19"
"Anderson, VA",2023-09-19,,2023-10-29,2023-10-29,2318584,2023-10-29,2855133,0.0,Closed,Emergency,Repair,Storm/Flood Cleanup,Mike Johnson,USPS,40.0,31-60,Closed,Closed,"Anderson, VA|2023-09-19"
"Ashland, WA",2023-09-20,2023-09-21,2023-10-03,2023-10-03,,2023-10-10,,250.0,Closed,Normal,Repair,Plumbing,Brandon Davis,Internal,20.0,0-30,Closed,Closed,"Ashland, WA|2023-09-20"
"Auburn, NH",2023-09-20,2023-10-11,2023-10-12,2023-10-19,,2023-10-23,,800.0,Closed,Urgent,Repair,Roof Repair,Mike Johnson,Internal,33.0,31-60,Closed,Closed,"Auburn, NH|2023-09-20"
"Bristol, OH",2023-09-20,2023-09-20,2023-09-21,2023-09-26,2318081,2023-10-10,2854548,168.54,Closed,Urgent,Repair,HVAC Repairs,Sarah Williams,USPS,20.0,0-30,Closed,Closed,"Bristol, OH|2023-09-20"
"Clinton, GA",2023-09-20,2023-09-19,2023-09-20,2023-09-21,,2023-09-26,,236.36,Closed,Normal,Repair,HVAC Repairs,Brandon Davis,Internal,6.0,0-30,Closed,Closed,"Clinton, GA|2023-09-20"
"Danville, NM",2023-09-20,2023-09-21,2023-09-21,2023-12-03,2318652,2023-12-03,2855122,0.0,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,74.0,61-90,Closed,Closed,"Danville, NM|2023-09-20"
"Edison, NC",2023-09-20,2023-09-20,2023-09-21,,2318352,2023-12-10,2854851,117.0,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,81.0,61-90,Closed,Closed,"Edison, NC|2023-09-20"
"Fairview, MD",2023-09-20,2023-09-21,2023-09-25,2023-10-03,2318350,2023-10-10,2854872,65.0,Closed,Urgent,Repair,HVAC Repairs,Brandon Davis,USPS,20.0,0-30,Closed,Closed,"Fairview, MD|2023-09-20"
"Georgetown, CT",2023-09-20,2023-09-20,2023-09-20,2023-09-21,2319502,2023-11-07,2856084,150.0,Closed,Emergency,Repair,Doors,Mike Johnson,USPS,48.0,31-60,Closed,Closed,"Georgetown, CT|2023-09-20"
"Greenville, AR",2023-09-20,2023-09-21,2023-10-04,2023-10-24,2318359,2023-10-24,2854848,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,34.0,31-60,Closed,Closed,"Greenville, AR|2023-09-20"
"Hamilton, ND",2023-09-20,2023-11-07,2023-11-08,2023-11-09,2317542,2023-11-21,2853903,,Closed,Urgent,Repair,Doors,Brandon Davis,USPS,62.0,61-90,Closed,Closed,"Hamilton, ND|2023-09-20"
"Hamilton, ND",2023-09-20,2023-10-29,2023-11-05,2023-11-05,2317542,2023-11-05,2853902,,Closed,Urgent,Repair,Doors,Brandon Davis,USPS,46.0,31-60,Closed,Closed,"Hamilton, ND|2023-09-20"
"Lexington, WV",2023-09-20,,,2023-10-18,2318633,2023-10-18,2855151,0.0,Closed,Urgent,Repair,Paving (Repair),Mike Johnson,USPS,28.0,0-30,Closed,Closed,"Lexington, WV|2023-09-20"
"Lexington, WV",2023-09-20,,,2023-10-18,2317747,2023-10-18,2854162,0.0,Closed,Urgent,Repair,Paving (Repair),Mike Johnson,USPS,28.0,0-30,Closed,Closed,"Lexington, WV|2023-09-20"
"Lexington, WV",2023-09-20,,2024-01-08,2024-01-08,2318614,2024-02-06,2855058,,Closed,Urgent,Repair,Doors,Brandon Davis,USPS,139.0,90+,Closed,Closed,"Lexington, WV|2023-09-20"
"Riverside, MA",2023-09-20,2023-09-24,2023-09-25,2023-09-26,2317223,2023-10-03,2853605,95.0,Closed,Urgent,Repair,Plumbing,Sarah Williams,USPS,13.0,0-30,Closed,Closed,"Riverside, MA|2023-09-20"
"Franklin, LA",2023-09-24,2023-09-24,2023-09-25,2023-09-27,2319473,2023-10-23,2856046,689.34,Closed,Urgent,Repair,HVAC Repairs,Brandon Davis,USPS,29.0,0-30,Closed,Closed,"Franklin, LA|2023-09-24"
"Bloomington, MS",2023-09-25,2024-01-16,2024-03-04,2024-03-08,2319536,2024-03-26,2856099,4150.0,Closed,Urgent,Repair,Flooring,Mike Johnson,USPS,183.0,90+,Closed,Closed,"Bloomington, MS|2023-09-25"
"Ashland, AZ",2023-09-26,2023-10-22,2023-10-26,2023-10-29,2321404,2024-02-06,2858157,,Closed,Urgent,Repair,Doors,Brandon Davis,USPS,133.0,90+,Closed,Closed,"Ashland, AZ|2023-09-26"
"Canton, GA",2023-09-26,2024-01-22,2024-01-23,2024-01-24,2321402,2024-01-29,2858153,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,125.0,90+,Closed,Closed,"Canton, GA|2023-09-26"
"Clinton, GA",2023-09-26,2023-11-02,2023-12-21,2024-01-07,2320842,2024-02-20,2857555,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,147.0,90+,Closed,Closed,"Clinton, GA|2023-09-26"
"Columbia, MS",2023-09-26,2024-03-20,2024-03-28,2024-04-22,2320267,2024-07-11,2856908,,Closed,Urgent,Repair,Roof Repair,Brandon Davis,USPS,289.0,90+,Closed,Closed,"Columbia, MS|2023-09-26"
"Dover, NY",2023-09-26,2023-10-23,2024-01-17,2024-01-18,2320756,2024-01-31,2857404,,Closed,Urgent,Repair,Roof Repair,Sarah Williams,USPS,127.0,90+,Closed,Closed,"Dover, NY|2023-09-26"
"Kingston, UT",2023-09-26,2023-10-10,2023-10-11,2023-10-30,2320909,2023-10-31,2857609,189.44,Closed,Urgent,Repair,Plumbing,Brandon Davis,USPS,35.0,31-60,Closed,Closed,"Kingston, UT|2023-09-26"
"Kingston, UT",2023-09-26,2023-10-10,2023-10-11,2023-10-30,2320909,2024-02-06,2857567,,Closed,Urgent,Repair,Plumbing,Brandon Davis,USPS,133.0,90+,Closed,Closed,"Kingston, UT|2023-09-26"
"Milton, ND",2023-09-26,2023-11-28,2023-12-06,2023-12-06,2319292,2023-12-11,2855841,,Closed,Urgent,Repair,Storm/Flood Cleanup,Brandon Davis,USPS,76.0,61-90,Closed,Closed,"Milton, ND|2023-09-26"
"Norwood, ID",2023-09-26,2023-09-27,2023-09-28,2023-09-28,2320771,2023-10-10,2857456,95.0,Closed,Urgent,Repair,HVAC Repairs,Mike Johnson,USPS,14.0,0-30,Closed,Closed,"Norwood, ID|2023-09-26"
"Florence, MO",2023-09-27,2023-10-29,2023-11-06,2023-11-08,,2023-11-26,,550.0,Closed,Unknown,Repair,Doors,Sarah Williams,Internal,60.0,31-60,Closed,Closed,"Florence, MO|2023-09-27"
"Jackson, FL",2023-09-27,2023-09-27,2023-12-12,,,2024-01-02,,82.0,Closed,Normal,Repair,HVAC PM,Ashley Thompson,Internal,97.0,90+,Closed,Closed,"Jackson, FL|2023-09-27"
"Manchester, MA",2023-09-27,2024-01-28,2024-04-12,2024-05-16,2321928,2024-05-22,2858677,7500.0,Closed,Normal,Repair,Drive Thru,Sarah Williams,USPS,238.0,90+,Closed,Closed,"Manchester, MA|2023-09-27"
"Salem, WI",2023-09-27,2023-10-31,2023-11-10,2023-11-13,2321698,2023-12-12,2858368,1200.0,Closed,Urgent,Repair,Landscaping,Mike Johnson,USPS,76.0,61-90,Closed,Closed,"Salem, WI|2023-09-27"
"Burlington, AL",2023-09-28,2023-11-27,2023-12-12,2023-12-12,2321823,2023-12-19,2858556,,Closed,Urgent,Repair,Doors,Brandon Davis,USPS,82.0,61-90,Closed,Closed,"Burlington, AL|2023-09-28"
